Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-05-23,Modern Love Chennai,2023,https://boxd.it/4hmeb7,4,,,2023-05-22
2023-05-25,Mean Girls,2004,https://boxd.it/4hOcnh,3,,,2023-05-24
2023-05-26,Little Miss Sunshine,2006,https://boxd.it/4i1KLD,3.5,,,2023-05-25
2023-05-28,Melancholia,2011,https://boxd.it/4isS0f,4,,,2023-05-27
2023-05-28,Irreversible,2002,https://boxd.it/4iub5Z,4,,,2023-05-27
2023-05-31,Your Name.,2016,https://boxd.it/4jhxPj,4,Yes,,2023-05-30
2023-06-04,Normal People,2020,https://boxd.it/4ki5hf,4,,,2023-06-03
2023-06-04,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/4ki6sN,3.5,Yes,,2023-06-03
2023-06-05,The Body,2012,https://boxd.it/4kPMsB,3.5,,,2023-06-04
2023-06-06,Wild Tales,2014,https://boxd.it/4kWu7T,4,,,2023-06-05
2023-06-07,Trainspotting,1996,https://boxd.it/4ldeOV,4,,,2023-06-06
2023-06-11,The Game,1997,https://boxd.it/4mfhn7,3.5,,,2023-06-10
2023-06-11,"The Gangster, the Cop, the Devil",2019,https://boxd.it/4mtdlz,3,,,2023-06-11
2023-06-13,Predestination,2014,https://boxd.it/4mRJpr,3.5,,,2023-06-12
2023-06-15,Frances Ha,2012,https://boxd.it/4nrESZ,3.5,,,2023-06-15
2023-06-20,Manchester by the Sea,2016,https://boxd.it/4oMZXn,4,,,2023-06-19
2023-06-21,Nebraska,2013,https://boxd.it/4p4eJf,4,,,2023-06-20
2023-06-22,After Yang,2021,https://boxd.it/4plVdl,3.5,,,2023-06-21
2023-06-24,Por Thozhil,2023,https://boxd.it/4q3MTv,3.5,,,2023-06-24
2023-06-25,All Quiet on the Western Front,2022,https://boxd.it/4qmqWP,4,,,2023-06-25
2023-06-26,The Thing,1982,https://boxd.it/4qsXc3,4.5,,,2023-06-25
2023-06-28,Vettaiyaadu Vilaiyaadu,2006,https://boxd.it/4r1QLl,3.5,,,2023-06-27
2023-07-04,Requiem for a Dream,2000,https://boxd.it/4sQnw3,4,,,2023-07-03
2023-07-05,Coherence,2013,https://boxd.it/4t9opF,3,,,2023-07-04
2023-07-06,Timecrimes,2007,https://boxd.it/4trO7j,3.5,,,2023-07-05
2023-07-08,Good Night,2023,https://boxd.it/4uaiG7,3,,,2023-07-08
2023-07-09,The Theory of Everything,2014,https://boxd.it/4ugbAt,3.5,,,2023-07-08
2023-07-09,Design for Living,1933,https://boxd.it/4uv7YV,3.5,,,2023-07-09
2023-07-10,2018,2023,https://boxd.it/4uxFMN,3.5,,,2023-07-09
2023-07-11,Battleship,2012,https://boxd.it/4uXpoH,2.5,,,2023-07-10
2023-07-12,Naked,1993,https://boxd.it/4vfgTR,4,,,2023-07-11
2023-07-13,Happening,2021,https://boxd.it/4vxg7J,4,,,2023-07-12
2023-07-14,Kadhalum Kadanthu Pogum,2016,https://boxd.it/4vP9FZ,3.5,,,2023-07-13
2023-07-15,Back to the Future,1985,https://boxd.it/4wkaS3,4,,,2023-07-15
2023-07-16,The Edge of Seventeen,2016,https://boxd.it/4wlz79,3.5,,,2023-07-15
2023-07-16,One Fine Morning,2022,https://boxd.it/4wB6cV,3.5,,,2023-07-16
2023-07-18,Interstellar,2014,https://boxd.it/4x8ii3,4,,,2023-07-18
2023-07-20,Dunkirk,2017,https://boxd.it/4xRgD9,3.5,,,2023-07-19
2023-07-21,Inception,2010,https://boxd.it/4y27JT,3.5,,,2023-07-20
2023-07-22,Yeh Jawaani Hai Deewani,2013,https://boxd.it/4yHUOb,3,,,2023-07-22
2023-07-23,About Elly,2009,https://boxd.it/4yRgbj,4,,,2023-07-22
2023-07-24,Locke,2013,https://boxd.it/4zm7C3,3.5,,,2023-07-23
2023-07-25,Holy Spider,2022,https://boxd.it/4zPuiX,3.5,,,2023-07-24
2023-08-05,Witness,1985,https://boxd.it/4DVYzH,3.5,,,2023-08-04
2023-08-07,Never Let Me Go,2010,https://boxd.it/4ECXGN,3.5,,,2023-08-06
2023-08-12,Maaveeran,2023,https://boxd.it/4Gf4Ad,3,,,2023-08-11
2023-08-13,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4GxKzd,3.5,,,2023-08-12
2023-08-13,Boiling Point,2021,https://boxd.it/4GzsBz,3.5,,,2023-08-12
2023-08-14,Prisoners,2013,https://boxd.it/4GV1pF,4,,,2023-08-13
2023-08-14,One Day,2011,https://boxd.it/4HcL8p,3,,,2023-08-14
2023-08-15,Children of Men,2006,https://boxd.it/4HhWoj,4,,,2023-08-14
2023-08-15,Little Women,2019,https://boxd.it/4HwQkF,4,,,2023-08-15
2023-08-16,Batman Begins,2005,https://boxd.it/4HCduX,3.5,Yes,,2023-08-15
2023-08-26,Kaakha Kaakha,2003,https://boxd.it/4KECwl,3,,,2023-08-25
2023-08-26,Jailer,2023,https://boxd.it/4KS8Jd,2.5,,,2023-08-26
2023-08-27,The Dark Knight,2008,https://boxd.it/4KTAUl,4,Yes,,2023-08-26
2023-08-29,Rush,2013,https://boxd.it/4LEmn7,3.5,,,2023-08-28
2023-09-14,Barbie,2023,https://boxd.it/4Qi557,3.5,,,2023-09-13
2023-10-02,RDX: Robert Dony Xavier,2023,https://boxd.it/4VLyqL,3,,,2023-09-28
2023-10-02,Cure,1997,https://boxd.it/4VLxF1,4,,,2023-10-01
2023-10-02,Sapta Sagaradaache Ello – Side A,2023,https://boxd.it/4VLxWB,3.5,,,2023-10-02
2023-10-06,Hacksaw Ridge,2016,https://boxd.it/4WYoMd,3.5,,,2023-10-03
2023-10-07,A History of Violence,2005,https://boxd.it/4X5tiV,3.5,Yes,,2023-10-06
2023-10-07,Demolition,2015,https://boxd.it/4XjYs1,3.5,,,2023-10-07
2023-10-08,OMG 2,2023,https://boxd.it/4Xn9mf,3,,,2023-10-07
2023-10-08,Reservoir Dogs,1992,https://boxd.it/4XqtzT,4,,,2023-10-07
2023-10-10,"Oslo, August 31st",2011,https://boxd.it/4Ybxax,4,,,2023-10-09
2023-10-11,The Prestige,2006,https://boxd.it/4Ywsaz,4,,,2023-10-10
2023-10-14,Mark Antony,2023,https://boxd.it/4ZB0Fj,2.5,,,2023-10-14
2023-10-14,First Man,2018,https://boxd.it/4ZGikj,3.5,,,2023-10-14
2023-10-15,Apocalypse Now,1979,https://boxd.it/4ZJcz9,4,,,2023-10-14
2023-10-21,Leo,2023,https://boxd.it/51FRrv,3,,,2023-10-20
2023-10-26,Soodhu Kavvum,2013,https://boxd.it/53vlQh,4,,,2023-10-26
2023-10-28,Pebbles,2021,https://boxd.it/5410qB,4,,,2023-10-27
2023-10-29,Killers of the Flower Moon,2023,https://boxd.it/54q49J,4,,,2023-10-29
2023-11-18,Jigarthanda DoubleX,2023,https://boxd.it/5b97up,3.5,,,2023-11-18
2023-12-25,Maattrraan,2012,https://boxd.it/5ojFuv,3,Yes,,2023-12-24
2023-12-25,Ko,2011,https://boxd.it/5ojGdZ,3.5,Yes,,2023-12-24
2023-12-25,Ghilli,2004,https://boxd.it/5ojH95,3.5,Yes,,2023-12-24
2023-12-28,Strange Days,1995,https://boxd.it/5qf6Lr,3.5,,,2023-12-28
2023-12-28,Chithha,2023,https://boxd.it/5qf7W1,3.5,,,2023-12-28
2023-12-29,12th Fail,2023,https://boxd.it/5qP0oD,3.5,,,2023-12-29
2024-01-02,Martha Marcy May Marlene,2011,https://boxd.it/5sFQUJ,3.5,,,2024-01-01
2024-01-06,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/5vh9OR,3.5,,,2024-01-05
2024-01-06,Three of Us,2022,https://boxd.it/5vhf41,3.5,,,2024-01-05
2024-01-07,Animal,2023,https://boxd.it/5wsKTl,2.5,,,2024-01-07
2024-01-08,Hi Nanna,2023,https://boxd.it/5wEZRt,3,,,2024-01-07
2024-01-11,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/5yBByT,3,,,2024-01-10
2024-01-13,Merry Christmas,2024,https://boxd.it/5zM1DT,3.5,,,2024-01-12
2024-01-14,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/5A3uKj,4,,,2024-01-13
2024-01-15,Harry Potter and the Goblet of Fire,2005,https://boxd.it/5AF8Pn,3.5,,,2024-01-14
2024-01-15,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/5AHFVd,3.5,,,2024-01-14
2024-01-15,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/5BhDQd,3,,,2024-01-15
2024-01-15,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/5BhF0X,3.5,,,2024-01-15
2024-01-15,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/5BhFNP,3.5,,,2024-01-15
2024-01-16,Bandit Queen,1994,https://boxd.it/5BmVB1,3.5,,,2024-01-15
2024-01-20,Joe,2023,https://boxd.it/5DkbY3,2.5,,,2024-01-19
2024-01-20,May December,2023,https://boxd.it/5DmJcr,4,,,2024-01-20
2024-01-20,The Machinist,2004,https://boxd.it/5DEJzL,3.5,,,2024-01-20
2024-01-20,Kho Gaye Hum Kahan,2023,https://boxd.it/5DGiP7,3.5,,,2024-01-20
2024-01-21,Monster,2023,https://boxd.it/5DLsbB,3.5,,,2024-01-20
2024-01-21,Joyland,2022,https://boxd.it/5DRxOF,4,,,2024-01-21
2024-01-21,Society of the Snow,2023,https://boxd.it/5Ef5rL,4,,,2024-01-21
2024-01-21,10 Things I Hate About You,1999,https://boxd.it/5Ei6UF,3.5,,,2024-01-21
2024-01-27,Wake Up Sid,2009,https://boxd.it/5H8qzT,3,,,2024-01-26
2024-01-27,Zindagi Na Milegi Dobara,2011,https://boxd.it/5H8onh,3.5,,,2024-01-27
2024-01-27,Bones and All,2022,https://boxd.it/5H8pSv,3.5,,,2024-01-27
2024-01-28,Past Lives,2023,https://boxd.it/5HmAT3,4,,,2024-01-28
2024-01-29,42,2013,https://boxd.it/5IbW8b,3.5,,,2024-01-28
2024-02-06,Vadakkupatti Ramasamy,2024,https://boxd.it/5M3kBT,2.5,,,2024-02-04
2024-02-10,Grave of the Fireflies,1988,https://boxd.it/5NGu5F,4,,,2024-02-10
2024-02-13,Lover,2024,https://boxd.it/5P4fDp,3.5,,,2024-02-13
2024-02-18,Sir,2018,https://boxd.it/5QUURl,3.5,,,2024-02-17
2024-02-18,Rushmore,1998,https://boxd.it/5QWxQj,4,,,2024-02-17
2024-03-03,Dune,2021,https://boxd.it/5Xtaqn,4,,,2024-03-02
2024-03-03,Premalu,2024,https://boxd.it/5XufoX,3,,,2024-03-02
2024-03-06,Manjummel Boys,2024,https://boxd.it/5Z44oN,3.5,,,2024-03-05
2024-03-17,Oppenheimer,2023,https://boxd.it/63Y9IB,4,,,2024-03-16
2024-03-17,Another Round,2020,https://boxd.it/643JlX,4,,,2024-03-16
2024-03-17,Rise of the Planet of the Apes,2011,https://boxd.it/64vFE3,3,,,2024-03-17
2024-03-18,Mamma Mia!,2008,https://boxd.it/64wVSR,3,,,2024-03-17
2024-03-18,Dune: Part Two,2024,https://boxd.it/64yoKp,4,,,2024-03-17
2024-04-02,"Like Father, Like Son",2013,https://boxd.it/6bJYgv,4,,,2024-04-01
2024-04-06,Black Swan,2010,https://boxd.it/6drM5n,4,,,2024-04-05
2024-04-13,Shame,2011,https://boxd.it/6gmiC9,3.5,Yes,,2024-04-12
2024-04-13,Fight Club,1999,https://boxd.it/6gDNMj,4,,,2024-04-13
2024-04-15,Pride & Prejudice,2005,https://boxd.it/6h9UuZ,3.5,,,2024-04-14
2024-04-15,Imaikkaa Nodigal,2018,https://boxd.it/6hw0Qh,3,,,2024-04-14
2024-05-04,Lost Ladies,2023,https://boxd.it/6p9TFJ,3.5,,,2024-05-04
2024-05-05,Aamis,2019,https://boxd.it/6pD8UR,3.5,,,2024-05-04
2024-05-05,Aattam,2023,https://boxd.it/6pD7Cx,3.5,,,2024-05-05
2024-05-05,A Scene at the Sea,1991,https://boxd.it/6pFqRb,3.5,,,2024-05-05
2024-05-06,Dawn of the Planet of the Apes,2014,https://boxd.it/6pNdEp,3.5,,,2024-05-05
2024-05-18,War for the Planet of the Apes,2017,https://boxd.it/6uKsWn,3,,,2024-05-17
2024-05-19,The Fly,1986,https://boxd.it/6uSJIj,3.5,,,2024-05-18
2024-05-19,Mad Max: Fury Road,2015,https://boxd.it/6vbv3J,4,,,2024-05-19
2024-06-02,The Batman,2022,https://boxd.it/6B6oTn,4,,,2024-06-02
2024-06-03,Heat,1995,https://boxd.it/6B7IOp,4,,,2024-06-02
2024-07-06,Kalki 2898-AD,2024,https://boxd.it/6OF14X,2.5,,,2024-07-05
2024-07-08,Star,2024,https://boxd.it/6Pc5r3,3,,,2024-07-07
2024-07-21,October,2018,https://boxd.it/6UZqwh,3.5,,,2024-07-20
2024-08-03,8 A.M. Metro,2023,https://boxd.it/71cP01,3.5,,,2024-08-03
2024-08-03,Iratta,2023,https://boxd.it/71e4qZ,3,,,2024-08-03
2024-08-03,Ford v Ferrari,2019,https://boxd.it/71gQF3,4,,,2024-08-03
2024-08-11,The Wolverine,2013,https://boxd.it/74jQkH,3,,,2024-08-10
2024-08-11,X-Men Origins: Wolverine,2009,https://boxd.it/74jQXf,2.5,,,2024-08-10
2024-08-11,Unbelievable,2019,https://boxd.it/74jRED,4,,,2024-08-10
2024-08-15,Gladiator,2000,https://boxd.it/76tUH9,4,,,2024-08-15
2024-08-22,Twisters,2024,https://boxd.it/79FuTf,3,,,2024-08-15
2024-08-31,Raayan,2024,https://boxd.it/7dWt4l,3,,,2024-08-31
2024-09-09,The Silence of the Lambs,1991,https://boxd.it/7hMtNB,4,,,2024-09-08
2024-09-21,Longlegs,2024,https://boxd.it/7mZ8XB,3.5,,,2024-09-15
2024-09-21,Guruvayoor Ambalanadayil,2024,https://boxd.it/7njnIh,3,,,2024-09-21
2024-09-22,Civil War,2024,https://boxd.it/7nP1bT,3.5,,,2024-09-22
2024-09-22,Sharp Objects,2018,https://boxd.it/7nQN5r,4,,,2024-09-22
2024-10-05,Atonement,2007,https://boxd.it/7tAlEl,4,,,2024-10-05
